user_id,item_id,event_type,rating,quantity,price,event_ts,channel
U0029,I0009,view,,1,26.36,2026-02-12T15:03:22Z,mobile
U0065,I0097,view,,1,42.6,2026-03-27T00:30:22Z,mobile
U0092,I0027,cart,,1,58.32,2026-05-02T10:31:22Z,web
U0175,I0034,view,,1,32.38,bad_timestamp,mobile
U0224,I0001,purchase,,1,31.44,2026-03-16T14:30:22Z,mobile
U0012,I0047,cart,,1,36.67,2026-03-08T21:14:22Z,web
U0228,I0073,view,,1,25.28,2026-04-04T18:29:22Z,web
U0215,I0072,view,,1,21.99,2026-03-17T11:52:22Z,mobile
U0104,I0066,rating,4.0,1,-5.0,2026-03-10T11:38:22Z,web
U0124,I0009,rating,5.0,1,26.36,2026-02-10T08:18:22Z,mobile
U0096,I0075,rating,2.0,1,25.5,2026-03-31T03:02:22Z,web
U0059,I0071,view,,1,31.77,2026-02-24T20:23:22Z,web
U0138,I0107,view,,1,14.01,2026-04-25T08:02:22Z,mobile
U0104,I0095,cart,,1,11.84,2026-03-25T14:48:22Z,web
U0049,I0102,view,,1,45.37,2026-03-26T11:21:22Z,web
U0047,I0112,view,,1,53.68,2026-04-18T06:22:22Z,mobile
U0005,I0050,view,,1,15.33,2026-04-26T16:03:22Z,web
U0178,I0011,view,,1,15.55,2026-04-13T20:58:22Z,mobile
U0021,I0006,view,,1,21.38,2026-04-01T19:15:22Z,mobile
U0210,I0061,view,,1,17.75,2026-03-20T19:23:22Z,web
U0222,I0008,view,,1,36.94,2026-04-07T22:48:22Z,mobile
U0161,I0072,purchase,,2,21.99,2026-02-11T18:49:22Z,mobile
U0070,I0019,rating,5.0,1,35.63,2026-04-09T18:53:22Z,web
U0090,I0058,view,,1,18.03,2026-03-17T20:54:22Z,mobile
U0019,I0032,cart,,1,68.88,2026-02-23T12:23:22Z,mobile
U0004,I0029,rating,5.0,1,83.41,2026-04-08T22:16:22Z,web
U0080,I0119,view,,1,34.0,2026-02-15T03:03:22Z,mobile
U0222,I0111,view,,1,114.52,2026-03-13T11:36:22Z,web
U0081,I0104,purchase,,1,41.88,2026-03-28T05:10:22Z,web
U0074,I0092,rating,3.0,1,16.23,2026-04-18T13:44:22Z,web
U0216,I0104,purchase,,1,41.88,2026-02-06T01:12:22Z,mobile
U0101,I0017,rating,1.0,1,25.29,2026-03-21T12:33:22Z,web
U0182,I0010,rating,2.0,1,50.12,2026-04-07T11:54:22Z,web
U0067,I0109,view,,1,70.56,2026-04-16T17:52:22Z,web
U0103,I0063,cart,,1,17.91,2026-03-05T20:10:22Z,mobile
U0093,I0082,cart,,1,27.22,2026-03-09T17:03:22Z,web
U0058,I0020,view,,1,27.33,2026-02-22T21:11:22Z,web
U0203,I0005,view,,1,20.52,2026-04-03T19:10:22Z,mobile
U0098,I0041,rating,4.0,1,35.48,2026-05-01T16:56:22Z,mobile
U0179,I0097,purchase,,1,42.6,2026-04-11T19:53:22Z,web
U0047,I0026,rating,4.0,1,13.5,2026-02-03T14:09:22Z,web
U0106,I0114,view,,1,33.44,2026-02-16T10:50:22Z,mobile
U0041,I0101,purchase,,1,48.0,2026-04-08T03:18:22Z,web
U0068,I0017,view,,1,25.29,2026-03-30T00:48:22Z,web
U0024,I0063,view,,1,17.91,2026-03-17T10:23:22Z,web
U0024,I0014,view,,1,30.5,2026-04-28T08:38:22Z,web
U0215,I0096,view,,1,36.87,2026-02-13T20:34:22Z,web
U0181,I0057,cart,,1,46.42,2026-04-06T03:21:22Z,mobile
U0070,I0052,view,,1,30.37,2026-04-21T00:20:22Z,mobile
U0085,I0017,rating,2.0,1,25.29,2026-03-26T15:45:22Z,mobile
U0076,I0019,purchase,,2,35.63,2026-04-08T00:36:22Z,mobile
U0050,I0101,cart,,1,48.0,2026-02-22T23:36:22Z,web
U0206,I0093,rating,4.0,1,35.82,2026-04-30T21:49:22Z,mobile
U0022,I0111,view,,1,114.52,2026-03-14T02:05:22Z,web
U0031,I0032,view,,1,68.88,2026-04-10T10:52:22Z,mobile
U0009,I0052,view,,1,30.37,2026-03-21T13:18:22Z,mobile
U0048,I0117,cart,,1,42.8,2026-02-04T00:30:22Z,web
U0191,I0033,rating,4.0,1,24.72,2026-04-27T19:59:22Z,mobile
U0015,I0070,rating,5.0,1,26.73,2026-02-24T22:44:22Z,web
U0126,I0023,purchase,,1,51.99,2026-02-17T02:34:22Z,mobile
U0006,I0117,purchase,,1,42.8,2026-02-19T21:45:22Z,mobile
U0175,I0022,view,,1,23.73,2026-03-26T07:35:22Z,web
U0100,I0068,view,,1,16.18,2026-03-23T00:32:22Z,web
U0116,I0063,cart,,1,17.91,2026-03-09T02:35:22Z,mobile
U0189,I0028,view,,1,23.83,2026-04-16T23:26:22Z,mobile
U0083,I0016,cart,,1,41.84,2026-02-02T08:19:22Z,mobile
U0013,I0062,cart,,1,23.59,2026-02-26T18:01:22Z,mobile
U0123,I0089,view,,1,40.79,2026-02-13T18:25:22Z,mobile
U0151,I0027,view,,1,58.32,2026-04-24T23:55:22Z,mobile
U0119,I0080,rating,4.0,1,16.0,2026-03-11T09:37:22Z,mobile
U0072,I0084,view,,1,27.83,2026-04-22T09:38:22Z,web
U0133,I0102,rating,4.0,1,45.37,2026-04-15T12:57:22Z,mobile
U0069,I0093,view,,1,35.82,2026-04-22T18:07:22Z,mobile
U0233,I0069,view,,1,41.22,2026-03-28T02:19:22Z,web
U0167,I0013,purchase,,1,28.54,2026-03-05T12:20:22Z,mobile
U0215,I0096,view,,1,36.87,2026-03-12T17:03:22Z,web
U0202,I0008,view,,1,36.94,2026-04-15T08:42:22Z,mobile
U0017,I0027,rating,4.0,1,58.32,2026-04-22T01:35:22Z,mobile
U0212,I0102,view,,1,45.37,2026-04-16T07:36:22Z,web
U0010,I0017,view,,1,25.29,2026-03-23T14:01:22Z,mobile
U0074,I0026,cart,,1,13.5,2026-03-16T05:40:22Z,web
U0157,I0020,view,,1,27.33,2026-04-20T12:51:22Z,mobile
U0108,I0031,cart,,1,6.52,2026-02-22T23:39:22Z,web
U0034,I0006,view,,1,21.38,2026-02-04T17:59:22Z,web
