user_id,item_id,event_type,rating,quantity,price,event_ts,channel
U0029,I0009,view,,1,26.36,2026-02-11T06:14:23Z,mobile
U0065,I0097,view,,1,42.6,2026-03-25T15:41:23Z,mobile
U0092,I0027,cart,,1,58.32,2026-05-01T01:42:23Z,web
U0175,I0034,view,,1,32.38,bad_timestamp,mobile
U0224,I0001,purchase,,1,31.44,2026-03-15T05:41:23Z,mobile
U0012,I0047,cart,,1,36.67,2026-03-07T12:25:23Z,web
U0228,I0073,view,,1,25.28,2026-04-03T09:40:23Z,web
U0215,I0072,view,,1,21.99,2026-03-16T03:03:23Z,mobile
U0104,I0066,rating,4.0,1,-5.0,2026-03-09T02:49:23Z,web
U0124,I0009,rating,5.0,1,26.36,2026-02-08T23:29:23Z,mobile
U0096,I0075,rating,2.0,1,25.5,2026-03-29T18:13:23Z,web
U0059,I0071,view,,1,31.77,2026-02-23T11:34:23Z,web
U0138,I0107,view,,1,14.01,2026-04-23T23:13:23Z,mobile
U0104,I0095,cart,,1,11.84,2026-03-24T05:59:23Z,web
U0049,I0102,view,,1,45.37,2026-03-25T02:32:23Z,web
U0047,I0112,view,,1,53.68,2026-04-16T21:33:23Z,mobile
U0005,I0050,view,,1,15.33,2026-04-25T07:14:23Z,web
U0178,I0011,view,,1,15.55,2026-04-12T12:09:23Z,mobile
U0021,I0006,view,,1,21.38,2026-03-31T10:26:23Z,mobile
U0210,I0061,view,,1,17.75,2026-03-19T10:34:23Z,web
U0222,I0008,view,,1,36.94,2026-04-06T13:59:23Z,mobile
U0161,I0072,purchase,,2,21.99,2026-02-10T10:00:23Z,mobile
U0070,I0019,rating,5.0,1,35.63,2026-04-08T10:04:23Z,web
U0090,I0058,view,,1,18.03,2026-03-16T12:05:23Z,mobile
U0019,I0032,cart,,1,68.88,2026-02-22T03:34:23Z,mobile
U0004,I0029,rating,5.0,1,83.41,2026-04-07T13:27:23Z,web
U0080,I0119,view,,1,34.0,2026-02-13T18:14:23Z,mobile
U0222,I0111,view,,1,114.52,2026-03-12T02:47:23Z,web
U0081,I0104,purchase,,1,41.88,2026-03-26T20:21:23Z,web
U0074,I0092,rating,3.0,1,16.23,2026-04-17T04:55:23Z,web
U0216,I0104,purchase,,1,41.88,2026-02-04T16:23:23Z,mobile
U0101,I0017,rating,1.0,1,25.29,2026-03-20T03:44:23Z,web
U0182,I0010,rating,2.0,1,50.12,2026-04-06T03:05:23Z,web
U0067,I0109,view,,1,70.56,2026-04-15T09:03:23Z,web
U0103,I0063,cart,,1,17.91,2026-03-04T11:21:23Z,mobile
U0093,I0082,cart,,1,27.22,2026-03-08T08:14:23Z,web
U0058,I0020,view,,1,27.33,2026-02-21T12:22:23Z,web
U0203,I0005,view,,1,20.52,2026-04-02T10:21:23Z,mobile
U0098,I0041,rating,4.0,1,35.48,2026-04-30T08:07:23Z,mobile
U0179,I0097,purchase,,1,42.6,2026-04-10T11:04:23Z,web
U0047,I0026,rating,4.0,1,13.5,2026-02-02T05:20:23Z,web
U0106,I0114,view,,1,33.44,2026-02-15T02:01:23Z,mobile
U0041,I0101,purchase,,1,48.0,2026-04-06T18:29:23Z,web
U0068,I0017,view,,1,25.29,2026-03-28T15:59:23Z,web
U0024,I0063,view,,1,17.91,2026-03-16T01:34:23Z,web
U0024,I0014,view,,1,30.5,2026-04-26T23:49:23Z,web
U0215,I0096,view,,1,36.87,2026-02-12T11:45:23Z,web
U0181,I0057,cart,,1,46.42,2026-04-04T18:32:23Z,mobile
U0070,I0052,view,,1,30.37,2026-04-19T15:31:23Z,mobile
U0085,I0017,rating,2.0,1,25.29,2026-03-25T06:56:23Z,mobile
U0076,I0019,purchase,,2,35.63,2026-04-06T15:47:23Z,mobile
U0050,I0101,cart,,1,48.0,2026-02-21T14:47:23Z,web
U0206,I0093,rating,4.0,1,35.82,2026-04-29T13:00:23Z,mobile
U0022,I0111,view,,1,114.52,2026-03-12T17:16:23Z,web
U0031,I0032,view,,1,68.88,2026-04-09T02:03:23Z,mobile
U0009,I0052,view,,1,30.37,2026-03-20T04:29:23Z,mobile
U0048,I0117,cart,,1,42.8,2026-02-02T15:41:23Z,web
